State,data_monthid,category,Million_Vehicle_Miles,area,monthid
new mexico,201903,Rural_Arterial_201802,717,rural,201802
oregon,201903,Rural_Arterial_201802,667,rural,201802
utah,201903,Rural_Arterial_201802,412,rural,201802
washington,201903,Rural_Arterial_201802,771,rural,201802
wyoming,201903,Rural_Arterial_201802,283,rural,201802
connecticut,201903,Urban_Arterial_201802,1568,urban,201802
maine,201903,Urban_Arterial_201802,232,urban,201802
massachusetts,201903,Urban_Arterial_201802,3424,urban,201802
new hampshire,201903,Urban_Arterial_201802,448,urban,201802
new jersey,201903,Urban_Arterial_201802,3898,urban,201802
new york,201903,Urban_Arterial_201802,5229,urban,201802
pennsylvania,201903,Urban_Arterial_201802,3336,urban,201802
rhode island,201903,Urban_Arterial_201802,380,urban,201802
vermont,201903,Urban_Arterial_201802,104,urban,201802
delaware,201903,Urban_Arterial_201802,387,urban,201802
district of columbia,201903,Urban_Arterial_201802,182,urban,201802
florida,201903,Urban_Arterial_201802,9223,urban,201802
georgia,201903,Urban_Arterial_201802,4837,urban,201802
maryland,201903,Urban_Arterial_201802,2672,urban,201802
north carolina,201903,Urban_Arterial_201802,3882,urban,201802
south carolina,201903,Urban_Arterial_201802,1829,urban,201802
virginia,201903,Urban_Arterial_201802,3028,urban,201802
west virginia,201903,Urban_Arterial_201802,428,urban,201802
illinois,201903,Urban_Arterial_201802,4340,urban,201802
indiana,201903,Urban_Arterial_201802,2060,urban,201802
iowa,201903,Urban_Arterial_201802,731,urban,201802
kansas,201903,Urban_Arterial_201802,894,urban,201802
michigan,201903,Urban_Arterial_201802,4191,urban,201802
minnesota,201903,Urban_Arterial_201802,1940,urban,201802
missouri,201903,Urban_Arterial_201802,2184,urban,201802
nebraska,201903,Urban_Arterial_201802,511,urban,201802
north dakota,201903,Urban_Arterial_201802,140,urban,201802
ohio,201903,Urban_Arterial_201802,4205,urban,201802
south dakota,201903,Urban_Arterial_201802,164,urban,201802
wisconsin,201903,Urban_Arterial_201802,1925,urban,201802
alabama,201903,Urban_Arterial_201802,1992,urban,201802
arkansas,201903,Urban_Arterial_201802,853,urban,201802
kentucky,201903,Urban_Arterial_201802,1085,urban,201802
louisiana,201903,Urban_Arterial_201802,1578,urban,201802
mississippi,201903,Urban_Arterial_201802,869,urban,201802
oklahoma,201903,Urban_Arterial_201802,1329,urban,201802
tennessee,201903,Urban_Arterial_201802,2902,urban,201802
texas,201903,Urban_Arterial_201802,12122,urban,201802
alaska,201903,Urban_Arterial_201802,146,urban,201802
arizona,201903,Urban_Arterial_201802,3296,urban,201802
california,201903,Urban_Arterial_201802,17610,urban,201802
colorado,201903,Urban_Arterial_201802,2261,urban,201802
hawaii,201903,Urban_Arterial_201802,382,urban,201802
idaho,201903,Urban_Arterial_201802,444,urban,201802
montana,201903,Urban_Arterial_201802,149,urban,201802
nevada,201903,Urban_Arterial_201802,1121,urban,201802
new mexico,201903,Urban_Arterial_201802,682,urban,201802
oregon,201903,Urban_Arterial_201802,1288,urban,201802
utah,201903,Urban_Arterial_201802,1248,urban,201802
washington,201903,Urban_Arterial_201802,2804,urban,201802
wyoming,201903,Urban_Arterial_201802,130,urban,201802
connecticut,201903,All_Arterial_201802,2139,all,201802
maine,201903,All_Arterial_201802,1065,all,201802
massachusetts,201903,All_Arterial_201802,4512,all,201802
new hampshire,201903,All_Arterial_201802,911,all,201802
new jersey,201903,All_Arterial_201802,5354,all,201802
new york,201903,All_Arterial_201802,8675,all,201802
pennsylvania,201903,All_Arterial_201802,6413,all,201802
rhode island,201903,All_Arterial_201802,496,all,201802
vermont,201903,All_Arterial_201802,510,all,201802
delaware,201903,All_Arterial_201802,679,all,201802
district of columbia,201903,All_Arterial_201802,249,all,201802
florida,201903,All_Arterial_201802,17067,all,201802
georgia,201903,All_Arterial_201802,9202,all,201802
maryland,201903,All_Arterial_201802,3840,all,201802
north carolina,201903,All_Arterial_201802,8075,all,201802
south carolina,201903,All_Arterial_201802,4063,all,201802
virginia,201903,All_Arterial_201802,5488,all,201802
west virginia,201903,All_Arterial_201802,1183,all,201802
illinois,201903,All_Arterial_201802,7706,all,201802
indiana,201903,All_Arterial_201802,5045,all,201802
iowa,201903,All_Arterial_201802,2088,all,201802
kansas,201903,All_Arterial_201802,2235,all,201802
michigan,201903,All_Arterial_201802,7103,all,201802
minnesota,201903,All_Arterial_201802,4022,all,201802
missouri,201903,All_Arterial_201802,4751,all,201802
nebraska,201903,All_Arterial_201802,1346,all,201802
north dakota,201903,All_Arterial_201802,654,all,201802
ohio,201903,All_Arterial_201802,8042,all,201802
south dakota,201903,All_Arterial_201802,619,all,201802
wisconsin,201903,All_Arterial_201802,4398,all,201802
alabama,201903,All_Arterial_201802,5048,all,201802
arkansas,201903,All_Arterial_201802,2089,all,201802
kentucky,201903,All_Arterial_201802,2984,all,201802
louisiana,201903,All_Arterial_201802,3051,all,201802
mississippi,201903,All_Arterial_201802,2876,all,201802
oklahoma,201903,All_Arterial_201802,3360,all,201802
tennessee,201903,All_Arterial_201802,5532,all,201802
texas,201903,All_Arterial_201802,20663,all,201802
alaska,201903,All_Arterial_201802,355,all,201802
arizona,201903,All_Arterial_201802,5467,all,201802
california,201903,All_Arterial_201802,24719,all,201802
colorado,201903,All_Arterial_201802,3781,all,201802
hawaii,201903,All_Arterial_201802,747,all,201802
idaho,201903,All_Arterial_201802,1278,all,201802
montana,201903,All_Arterial_201802,721,all,201802
nevada,201903,All_Arterial_201802,2062,all,201802
